date,value,code
2009-08-01,1.5,IUDBEDR
2009-09-01,1.5,IUDBEDR
2009-12-01,1.5,IUDBEDR
2009-01-13,1.5,IUDBEDR
2009-01-14,1.5,IUDBEDR
2009-01-15,1.5,IUDBEDR
2009-01-16,1.5,IUDBEDR
2009-01-19,1.5,IUDBEDR
2009-01-20,1.5,IUDBEDR
2009-01-21,1.5,IUDBEDR
2009-01-22,1.5,IUDBEDR
2009-01-23,1.5,IUDBEDR
2009-01-26,1.5,IUDBEDR
2009-01-27,1.5,IUDBEDR
2009-01-28,1.5,IUDBEDR
2009-01-29,1.5,IUDBEDR
2009-01-30,1.5,IUDBEDR
2009-02-02,1.5,IUDBEDR
2009-03-02,1.5,IUDBEDR
2009-04-02,1.5,IUDBEDR
2009-05-03,0.5,IUDBEDR
2009-06-03,0.5,IUDBEDR
2009-09-03,0.5,IUDBEDR
2009-10-03,0.5,IUDBEDR
2009-11-03,0.5,IUDBEDR
2009-12-03,0.5,IUDBEDR
2009-03-13,0.5,IUDBEDR
2009-03-16,0.5,IUDBEDR
2009-03-17,0.5,IUDBEDR
2009-03-18,0.5,IUDBEDR
2009-03-19,0.5,IUDBEDR
2009-03-20,0.5,IUDBEDR
2009-03-23,0.5,IUDBEDR
2009-03-24,0.5,IUDBEDR
2009-03-25,0.5,IUDBEDR
2009-03-26,0.5,IUDBEDR
2009-03-27,0.5,IUDBEDR
2009-03-30,0.5,IUDBEDR
2009-03-31,0.5,IUDBEDR
2009-01-04,0.5,IUDBEDR
2009-02-04,0.5,IUDBEDR
2009-03-04,0.5,IUDBEDR
2009-06-04,0.5,IUDBEDR
2009-07-04,0.5,IUDBEDR
2009-08-04,0.5,IUDBEDR
2009-09-04,0.5,IUDBEDR
2009-04-14,0.5,IUDBEDR
2009-04-15,0.5,IUDBEDR
2009-04-16,0.5,IUDBEDR
2009-04-17,0.5,IUDBEDR
2009-04-20,0.5,IUDBEDR
2009-04-21,0.5,IUDBEDR
2009-04-22,0.5,IUDBEDR
2009-04-23,0.5,IUDBEDR
2009-04-24,0.5,IUDBEDR
2009-04-27,0.5,IUDBEDR
2009-04-28,0.5,IUDBEDR
2009-04-29,0.5,IUDBEDR
2009-04-30,0.5,IUDBEDR
2009-01-05,0.5,IUDBEDR
2009-05-05,0.5,IUDBEDR
2009-06-05,0.5,IUDBEDR
2009-07-05,0.5,IUDBEDR
2009-08-05,0.5,IUDBEDR
2009-11-05,0.5,IUDBEDR
2009-12-05,0.5,IUDBEDR
2009-05-13,0.5,IUDBEDR
2009-05-14,0.5,IUDBEDR
2009-05-15,0.5,IUDBEDR
2009-05-18,0.5,IUDBEDR
2009-05-19,0.5,IUDBEDR
2009-05-20,0.5,IUDBEDR
