,from,to,changes,departure,arrival,duration
4,CTK,BFR,0,08:46,08:48,2
3,CTK,BFR,0,08:41,08:43,2
2,CTK,BFR,0,08:39,08:41,2
0,CTK,BFR,0,08:34,08:36,2
1,CTK,BFR,0,08:36,08:38,2
0,CST,LBG,0,07:57,08:00,3
1,CST,LBG,0,08:05,08:08,3
2,CST,LBG,0,08:14,08:17,3
3,CST,LBG,0,08:17,08:20,3
4,CST,LBG,0,08:24,08:27,3
0,WAE,LBG,0,08:23,08:27,4
4,ZFD,BFR,0,08:44,08:48,4
3,ZFD,BFR,0,08:39,08:43,4
2,ZFD,BFR,0,08:37,08:41,4
1,ZFD,BFR,0,08:34,08:38,4
0,ZFD,BFR,0,08:32,08:36,4
4,WAE,LBG,0,08:31,08:35,4
2,WAE,LBG,0,08:27,08:31,4
1,WAE,LBG,0,08:25,08:29,4
3,WAE,LBG,0,08:29,08:33,4
3,EPH,BFR,0,08:34,08:39,5
2,LBG,BFR,0,08:31,08:36,5
4,LBG,BFR,0,08:41,08:46,5
2,NWX,LBG,0,08:18,08:23,5
3,BFR,LBG,0,08:24,08:29,5
4,BFR,LBG,0,08:29,08:34,5
1,SBM,LBG,0,07:46,07:51,5
2,SBM,LBG,0,08:01,08:06,5
3,SBM,LBG,0,08:10,08:15,5
1,EPH,BFR,0,08:24,08:29,5
4,SBM,LBG,0,08:16,08:21,5
4,EPH,BFR,0,08:44,08:49,5
0,SBM,LBG,0,07:40,07:45,5
2,BFR,LBG,0,08:19,08:24,5
0,BFR,LBG,0,08:11,08:17,6
2,DEP,LBG,0,07:57,08:03,6
2,EPH,BFR,0,08:31,08:37,6
3,LBG,BFR,0,08:35,08:41,6
0,LBG,CST,0,08:34,08:40,6
0,DEP,LBG,0,07:44,07:50,6
4,LBG,CST,0,08:44,08:50,6
3,LBG,CST,0,08:41,08:47,6
2,LBG,CST,0,08:39,08:45,6
0,EPH,BFR,0,08:23,08:29,6
1,LBG,CST,0,08:36,08:42,6
4,NWX,LBG,0,08:24,08:30,6
1,BFR,LBG,0,08:14,08:20,6
1,LBG,BFR,0,08:28,08:34,6
3,QRP,LBG,0,08:08,08:15,7
4,DEP,LBG,0,08:20,08:27,7
3,DEP,LBG,0,08:09,08:16,7
1,DEP,LBG,0,07:50,07:57,7
0,LBG,BFR,0,08:24,08:31,7
0,QRP,LBG,0,07:38,07:45,7
4,CHX,LBG,0,08:28,08:35,7
3,CHX,LBG,0,08:26,08:33,7
2,CHX,LBG,0,08:24,08:31,7
1,CHX,LBG,0,08:22,08:29,7
0,CHX,LBG,0,08:20,08:27,7
3,NWX,LBG,0,08:21,08:28,7
1,STP,BFR,0,08:30,08:38,8
3,STP,BFR,0,08:35,08:43,8
4,STP,BFR,0,08:40,08:48,8
0,GNW,LBG,0,07:42,07:50,8
2,GNW,LBG,0,07:55,08:03,8
4,CTK,LBG,0,08:26,08:34,8
3,CTK,LBG,0,08:21,08:29,8
2,CTK,LBG,0,08:16,08:24,8
1,QRP,LBG,0,07:43,07:51,8
4,QRP,LBG,0,08:13,08:21,8
1,SAJ,LBG,0,08:03,08:11,8
0,SAJ,LBG,0,07:57,08:05,8
1,ZLW,CST,0,08:42,08:50,8
2,QRP,LBG,0,07:58,08:06,8
2,SAJ,LBG,0,08:15,08:23,8
0,STP,BFR,0,08:27,08:36,9
3,LEW,LBG,0,08:22,08:31,9
2,STP,BFR,0,08:32,08:41,9
4,LEW,LBG,0,08:24,08:33,9
4,SAJ,LBG,0,08:21,08:30,9
0,WAT,LBG,1,08:18,08:27,9
0,PMR,LBG,0,07:36,07:45,9
2,LGJ,BFR,0,08:15,08:24,9
1,LGJ,BFR,0,08:00,08:09,9
4,LAD,LBG,0,08:14,08:23,9
4,WAT,LBG,1,08:26,08:35,9
4,LGJ,BFR,0,08:30,08:39,9
2,LAD,LBG,0,07:54,08:03,9
3,WAT,LBG,1,08:24,08:33,9
0,LAD,LBG,0,07:34,07:43,9
2,WAT,LBG,1,08:22,08:31,9
1,WAT,LBG,1,08:20,08:29,9
3,PMR,LBG,0,08:06,08:15,9
3,LGJ,BFR,0,08:19,08:29,10
0,LGJ,BFR,0,07:49,07:59,10
3,HGR,LBG,0,08:15,08:25,10
2,PMR,LBG,0,07:56,08:06,10
4,ZFD,LBG,0,08:24,08:34,10
4,NXG,LBG,0,08:21,08:31,10
1,PMR,LBG,0,07:41,07:51,10
3,ZFD,LBG,0,08:19,08:29,10
2,ZFD,LBG,0,08:14,08:24,10
4,GNW,LBG,0,08:17,08:27,10
3,GNW,LBG,0,08:06,08:16,10
1,GNW,LBG,0,07:47,07:57,10
1,ZLW,BFR,0,08:40,08:50,10
4,PMR,LBG,0,08:11,08:21,10
0,LEW,LBG,0,08:13,08:23,10
3,SAJ,LBG,0,08:18,08:28,10
4,CFB,LBG,0,08:12,08:23,11
3,GRP,LBG,0,08:10,08:21,11
2,CFB,LBG,0,07:52,08:03,11
3,NXG,LBG,0,08:14,08:25,11
2,LEW,LBG,0,08:19,08:30,11
4,VIC,BFR,0,08:39,08:50,11
1,HGR,LBG,0,08:02,08:13,11
2,HNH,BFR,0,08:12,08:24,12
1,HNH,BFR,0,07:57,08:09,12
4,DMK,BFR,0,08:37,08:49,12
2,DMK,BFR,0,08:17,08:29,12
1,DMK,BFR,0,08:07,08:19,12
0,DMK,BFR,0,07:47,07:59,12
3,BKH,LBG,0,08:15,08:27,12
3,DEP,CST,0,08:09,08:21,12
2,MZH,LBG,0,07:51,08:03,12
1,NWD,LBG,0,07:46,07:58,12
4,HNH,BFR,0,08:27,08:39,12
4,NWD,LBG,0,08:16,08:28,12
1,BKH,LBG,0,08:07,08:19,12
3,NWD,LBG,0,08:07,08:20,13
4,MZH,LBG,0,08:14,08:27,13
0,SQE,LBG,1,07:45,07:58,13
1,LEW,LBG,0,08:15,08:28,13
4,NWX,CST,0,08:37,08:50,13
3,NWX,CST,0,08:34,08:47,13
0,NWX,CST,0,08:18,08:31,13
2,GRP,LBG,0,08:04,08:17,13
0,BKH,LBG,0,07:58,08:11,13
1,MZH,LBG,0,07:44,07:57,13
4,BKH,LBG,0,08:18,08:31,13
0,EDW,LBG,0,07:32,07:45,13
4,ECR,LBG,0,08:21,08:34,13
1,EDW,LBG,0,07:38,07:51,13
3,EDW,LBG,0,08:02,08:15,13
4,EDW,LBG,0,08:08,08:21,13
2,EDW,LBG,0,07:53,08:06,13
1,ECR,LBG,0,08:10,08:23,13
4,FST,CST,0,08:37,08:50,13
0,BCY,LBG,0,07:48,08:01,13
4,BCY,LBG,0,08:18,08:31,13
0,HNH,BFR,0,07:45,07:59,14
4,STP,LBG,0,08:20,08:34,14
2,NWX,CST,0,08:24,08:38,14
2,STP,LBG,0,08:10,08:24,14
2,LEE,LBG,0,07:59,08:13,14
2,WCB,LBG,0,07:49,08:03,14
3,STP,LBG,0,08:15,08:29,14
1,LAD,LBG,0,07:44,07:58,14
3,LAD,LBG,0,08:09,08:23,14
3,DMK,BFR,0,08:23,08:37,14
2,ECR,LBG,0,08:16,08:30,14
4,DEP,BFR,0,08:20,08:34,14
0,DEP,CST,0,07:32,07:46,14
1,DEP,CST,0,07:44,07:58,14
2,DEP,CST,0,07:57,08:11,14
4,DEP,CST,0,08:31,08:45,14
3,MZH,LBG,0,08:02,08:16,14
3,BCY,LBG,0,08:11,08:25,14
3,HNH,BFR,0,08:15,08:29,14
2,EPH,LBG,1,08:14,08:29,15
1,WCB,LBG,0,07:42,07:57,15
4,WCB,LBG,0,08:12,08:27,15
0,ECR,LBG,0,08:08,08:23,15
4,EPH,LBG,0,08:20,08:35,15
4,SQE,LBG,1,08:15,08:30,15
3,ESD,LBG,0,08:06,08:21,15
4,CHX,BFR,0,08:35,08:50,15
4,HGR,LBG,0,08:18,08:33,15
0,HPA,LBG,0,07:46,08:01,15
4,HPA,LBG,0,08:16,08:31,15
3,EPH,LBG,1,08:19,08:34,15
2,BCY,LBG,0,08:03,08:18,15
2,NDL,LBG,0,07:51,08:06,15
1,SDE,CST,1,08:23,08:38,15
4,VIC,CST,0,08:35,08:50,15
2,PMR,BFR,0,08:14,08:29,15
3,GNW,CST,0,08:06,08:21,15
0,ZCW,LBG,1,07:43,07:58,15
0,GRP,LBG,0,07:46,08:01,15
4,SDC,CST,1,08:33,08:48,15
3,SDC,CST,1,08:28,08:43,15
1,NWX,CST,0,08:21,08:36,15
4,NDL,LBG,0,08:06,08:21,15
3,FPK,BFR,0,08:08,08:23,15
1,NDL,LBG,0,07:36,07:51,15
0,NDL,LBG,0,07:30,07:45,15
2,SDC,CST,1,08:25,08:40,15
1,SDC,CST,1,08:22,08:37,15
0,SDC,CST,1,08:18,08:33,15
2,SDE,CST,1,08:27,08:42,15
3,NDL,LBG,0,08:00,08:15,15
4,PMR,BFR,0,08:34,08:49,15
1,FPK,BFR,0,07:38,07:53,15
2,LSY,LBG,0,07:48,08:03,15
4,LSY,LBG,0,08:08,08:23,15
4,KTN,BFR,0,08:21,08:36,15
3,KTN,BFR,0,08:06,08:21,15
2,KTN,BFR,0,07:51,08:06,15
0,LSY,LBG,0,07:28,07:43,15
0,KTN,BFR,0,07:21,07:36,15
1,KTN,BFR,0,07:36,07:51,15
0,NXG,LBG,1,08:07,08:23,16
2,LST,BFR,1,08:27,08:43,16
1,LST,BFR,1,08:25,08:41,16
4,SAJ,CST,0,08:31,08:47,16
4,KDB,LBG,0,08:11,08:27,16
1,NEH,LBG,0,07:49,08:05,16
0,SAJ,CST,0,08:03,08:19,16
1,SAJ,CST,0,08:15,08:31,16
0,GNW,CST,0,07:30,07:46,16
3,WCB,LBG,0,08:00,08:16,16
0,LST,BFR,1,08:22,08:38,16
4,NEH,LBG,0,08:09,08:25,16
4,LST,BFR,1,08:32,08:48,16
2,GNW,CST,0,07:55,08:11,16
4,FPK,BFR,0,08:22,08:38,16
2,FPK,BFR,0,07:52,08:08,16
4,TUH,BFR,0,08:23,08:39,16
3,SDE,CST,1,08:30,08:46,16
4,SDE,CST,1,08:34,08:50,16
0,SDE,CST,1,08:19,08:35,16
1,KDB,LBG,0,07:51,08:07,16
2,KDB,LBG,0,08:03,08:19,16
3,TUH,BFR,0,08:08,08:24,16
3,ECR,LBG,0,08:18,08:34,16
0,FPK,BFR,0,07:22,07:38,16
1,GNW,CST,0,07:42,07:58,16
4,FST,BFR,0,08:33,08:50,17
0,HGR,LBG,0,08:00,08:17,17
4,GNW,BFR,0,08:17,08:34,17
3,LEE,LBG,1,08:08,08:25,17
3,WDU,BFR,0,08:12,08:29,17
4,ZCW,LBG,1,08:13,08:30,17
2,BKH,LBG,0,08:11,08:28,17
