,station,code
0,Abbey Wood,ABW
1,Acton Central,ACC
2,Acton Main Line,AML
3,Addlestone railway station,ASN
4,Adisham railway station,ADM
5,Albany Park,AYP
6,Alexandra Palace,AAP
7,Amberley railway station,AMY
8,Amersham,AMR
9,Anerley,ANZ
10,Angmering railway station,ANG
11,Appledore railway station,APD
12,Arundel railway station,ARU
13,Ash Vale railway station,AHV
14,Ash railway station,ASH
15,Ashford International railway station,AFK
16,Ashford railway station (Surrey),AFS
17,Ashtead railway station,AHD
18,Aylesford railway station,AYL
19,Aylesham railway station,AYH
20,Bagshot railway station,BAG
21,Balcombe railway station,BAB
22,Balham,BAL
23,Banstead,BAD
24,Banstead railway station,BAD
25,Barking,BKG
26,Barming railway station,BMG
27,Barnehurst,BNH
28,Barnes,BNS
29,Barnes Bridge,BNI
30,Barnham railway station,BAA
31,Bat & Ball railway station,BBL
32,Battersea Park,BAK
33,Battle railway station,BAT
34,Bearsted railway station,BSD
35,Beckenham Hill,BEC
36,Beckenham Junction,BKJ
37,Bekesbourne railway station,BKS
38,Bellingham,BGM
39,Belmont,BLM
40,Beltring railway station,BEG
41,Belvedere,BVD
42,Berrylands,BRS
43,Berwick railway station (East Sussex),BRK
44,Betchworth railway station,BTO
45,Bethnal Green,BET
46,Bexhill railway station,BEX
47,Bexley,BXY
48,Bexleyheath,BXH
49,Bickley,BKL
50,Billingshurst railway station,BIG
51,Birchington-on-Sea railway station,BCH
52,Birkbeck,BIK
53,Bishopstone railway station,BIP
54,BlackfriarsLondon,BFR
55,Blackheath,BKH
56,Blackhorse Road,BHO
57,Bognor Regis railway station,BOG
58,Bookham railway station,BKA
59,Borough Green & Wrotham railway station,BRG
60,Bosham railway station,BOH
61,Bowes Park,BOP
62,Box Hill & Westhumble railway station,BXW
63,Brentford,BFD
64,Brentwood,BRE
65,Brimsdown,BMD
66,Brixton,BRX
67,Broadstairs railway station,BSR
68,Brockley,BCY
69,Bromley North,BMN
70,Bromley South,BMS
71,Brondesbury,BSY
72,Brondesbury Park,BSP
73,Brookwood railway station,BKO
74,Broxbourne,BXB
75,Bruce Grove,BCV
76,Burgess Hill railway station,BUG
77,Bush Hill Park,BHK
78,Bushey,BSH
79,Buxted railway station,BXD
80,Byfleet & New Haw railway station,BFN
81,Caledonian Road & Barnsbury,CIR
82,Camberley railway station,CAM
83,Cambridge Heath,CBH
84,Camden Road,CMD
85,Canada Water,ZCW
86,Cannon StreetLondon,CST
87,Canonbury,CNN
88,Canterbury East railway station,CBE
89,Canterbury West railway station,CBW
90,Carpenders Park,CPK
91,Carshalton,CSH
92,Carshalton Beeches,CSB
93,Castle Bar Park,CBP
94,Caterham,CAT
95,Caterham railway station,CAT
96,Catford,CTF
97,Catford Bridge,CFB
98,Chadwell Heath,CTH
99,Chafford Hundred,CFH
100,Chalfont & Latimer,CFO
101,Charing CrossLondon,CHX
102,Charing railway station,CHG
103,Charlton,CTN
104,Chartham railway station,CRT
105,Cheam,CHE
106,Chelsfield,CLD
107,Chertsey railway station,CHY
108,Cheshunt,CHN
109,Chessington North,CSN
110,Chessington South,CSS
111,Chestfield & Swalecliffe railway station,CSW
112,Chichester railway station,CCH
113,Chilham railway station,CIL
114,Chilworth railway station,CHL
115,Chingford,CHI
116,Chipstead,CHP
117,Chipstead railway station,CHP
118,Chislehurst,CIT
119,Chiswick,CHK
120,Chorleywood,CLW
121,Christ's Hospital railway station,CHH
122,City ThameslinkLondon,CTK
123,Clandon railway station,CLA
124,Clapham High Street,CLP
125,Clapham Junction,CLJ
126,Clapton,CPT
127,Claygate railway station,CLG
